84	Avatar	2009	12	tt0499549	19995	162	PG-13	237000000	7.8	82	112
85	Inglourious Basterds	2009	8	tt0361748	16869	153	R	70000000	8.3	89	281
86	Sherlock Holmes	2009	12	tt0988045	10528	129	PG-13	90000000	7.6	69	282
87	Jennifer's Body	2009	9	tt1131734	19994	100	R	16000000	5.2	45	34
88	The Proposal	2009	6	tt1041829	18240	108	PG-13	40000000	6.7	45	2
90	Brüno	2009	7	tt0889583	18480	83	R	42000000	5.8	67	30
91	Friday the 13th	2009	2	tt0758746	13207	97	R	19000000	5.5	26	21
92	The Hangover	2009	6	tt1119646	18785	100	R	35000000	7.7	78	30
93	The Princess and the Frog	2009	12	tt0780521	10198	97	G	105000000	7.1	85	283
94	Coraline	2009	2	tt0327597	14836	100	PG	60000000	7.7	90	256
95	Star Trek	2009	5	tt0796366	13475	127	PG-13	150000000	7.9	94	33
96	G.I. Joe: The Rise of Cobra	2009	8	tt1046173	14869	118	PG-13	175000000	5.8	34	284
97	Terminator Salvation	2009	5	tt0438488	534	115	PG-13	200000000	6.5	33	129
98	X-Men Origins: Wolverine	2009	4	tt0458525	2080	107	PG-13	150000000	6.6	37	284
99	Zombieland	2009	10	tt1156398	19908	88	R	23600000	7.6	89	34
100	State of Play	2009	4	tt0473705	16995	127	PG-13	60000000	7.1	84	18
101	He's Just Not That Into You	2009	2	tt1001508	10184	129	PG-13	40000000	6.4	41	2
102	The Twilight Saga: New Moon	2009	11	tt1259571	18239	131	PG-13	50000000	4.7	28	285
103	2012	2009	10	tt1190080	14161	158	PG-13	200000000	5.8	40	33
104	Up	2009	5	tt1049413	14160	96	PG	175000000	8.2	98	143
105	The Blind Side	2009	11	tt0878804	22881	129	PG-13	29000000	7.6	66	17
106	3 Idiots	2009	12	tt1187043	20453	170	PG-13	9000000	8.4	100	4
107	District 9	2009	8	tt1136608	17654	112	R	30000000	7.9	90	32
109	Fast & Furious	2009	4	tt1013752	13804	107	PG-13	85000000	6.6	29	204
110	Orphan	2009	7	tt1148204	21208	123	R	20000000	6.9	56	97
111	(500) Days of Summer	2009	7	tt1022603	19913	95	PG-13	7500000	7.7	85	2
112	Splice	2009	10	tt1017460	37707	104	R	26000000	5.7	76	125
113	Fantastic Mr. Fox	2009	10	tt0432283	10315	87	PG	40000000	7.9	93	143
114	The Lovely Bones	2009	2	tt0380510	7980	136	PG-13	65000000	6.7	32	98
115	The Girl with the Dragon Tattoo	2009	2	tt1132620	15472	152	R	13000000	7.8	85	130
116	Moon	2009	6	tt1182345	17431	97	R	5000000	7.9	90	96
117	The Last House on the Left	2009	3	tt0844708	18405	110	R	15000000	6.5	42	221
118	Antichrist	2009	5	tt0870984	17609	108	Not Rated	11000000	6.6	53	5
119	The Road	2009	11	tt0898367	20766	111	R	32000000	7.2	73	76
120	Dogtooth	2009	6	tt1379182	38810	98	Not Rated	275576	7.3	93	17
121	A Serious Man	2009	9	tt1019452	12573	105	R	7000000	7.0	90	4
122	17 Again	2009	3	tt0974661	16996	102	PG-13	20000000	6.3	56	30
